Epoch: [68 | 120] | Train Time: 84.00 s | BP Average: 7.28 | Natural Test Acc 0.85 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.35 |

Epoch: [69 | 120] | Train Time: 84.00 s | BP Average: 7.30 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [70 | 120] | Train Time: 84.00 s | BP Average: 7.30 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

Epoch: [71 | 120] | Train Time: 84.00 s | BP Average: 7.32 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.34 | CW Test Acc 0.34 |

Epoch: [72 | 120] | Train Time: 84.00 s | BP Average: 7.34 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.36 |

Epoch: [73 | 120] | Train Time: 85.00 s | BP Average: 7.36 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.35 | CW Test Acc 0.35 |

Epoch: [74 | 120] | Train Time: 85.00 s | BP Average: 7.36 | Natural Test Acc 0.86 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [75 | 120] | Train Time: 86.00 s | BP Average: 7.36 | Natural Test Acc 0.87 | FGSM Test Acc 0.56 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [76 | 120] | Train Time: 85.00 s | BP Average: 7.38 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [77 | 120] | Train Time: 85.00 s | BP Average: 7.39 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.34 | CW Test Acc 0.35 |

Epoch: [78 | 120] | Train Time: 85.00 s | BP Average: 7.39 | Natural Test Acc 0.86 | FGSM Test Acc 0.57 | PGD20 Test Acc 0.35 | CW Test Acc 0.35 |

